,"Type","Date","Num","Name","Memo","Account","Clr","Split","Debit","Credit","Balance","Account Type"
,"Build Assembly","23-01-2025","12542",,"N","Canister 500g","X","rHDPE white pellets",20670.63,"",495973.56,"Other Current Asset"
,"Build Assembly","24-01-2025","12545",,"Vim Powder Canister 500g","Canister 500g","X","Vim Powd Lemon Fresh SA 24X500G","",95247.16,400726.40,"Other Current Asset"
,"Build Assembly","24-01-2025","12544",,"Vim Powder Canister 500g","Canister 500g","X","500g VIM lavender","",33134.33,367592.07,"Other Current Asset"
,"Build Assembly","24-01-2025","12548",,"D","Canister 500g","X","rHDPE white pellets",17054.86,"",384646.93,"Other Current Asset"
"Total Canister 500g",,,,,,,,,1490783.86,1645755.35,384646.93,
"Canister Sunlight 1Kg",,,,,,,,,,,88.41,
,"Build Assembly","02-01-2025","12354",,"D","Canister Sunlight 1Kg","X","rHDPE white pellets",9778.81,"",9867.22,"Other Current Asset"
,"Build Assembly","02-01-2025","12356",,"N","Canister Sunlight 1Kg","X","rHDPE white pellets",25098.95,"",34966.17,"Other Current Asset"
,"Build Assembly","03-01-2025","12362",,"D","Canister Sunlight 1Kg","X","rHDPE white pellets",19740.98,"",54707.15,"Other Current Asset"
,"Build Assembly","03-01-2025","12365",,"N","Canister Sunlight 1Kg","X","rHDPE white pellets",25316.26,"",80023.41,"Other Current Asset"
,"Build Assembly","04-01-2025","12369",,"D","Canister Sunlight 1Kg","X","rHDPE white pellets",9778.81,"",89802.22,"Other Current Asset"
,"Build Assembly","07-01-2025","12395",,"Canister Sunlight 1Kg","Canister Sunlight 1Kg","X","Sunlight Lavender 12X1KG","",19639.14,70163.08,"Other Current Asset"
,"Build Assembly","07-01-2025","12396",,"Canister Sunlight 1Kg","Canister Sunlight 1Kg","X","Sunlight Lemon 12X1KG","",24365.57,45797.51,"Other Current Asset"
,"Build Assembly","15-01-2025","12462",,"Canister Sunlight 1Kg","Canister Sunlight 1Kg","X","Sunlight Lavender 12X1KG","",24365.57,21431.94,"Other Current Asset"
"Total Canister Sunlight 1Kg",,,,,,,,,89713.81,68370.28,21431.94,
"Canister Sunlight 500g",,,,,,,,,,,168.85,
,"Build Assembly","13-01-2025","12448",,"D","Canister Sunlight 500g","X","rHDPE white pellets",7679.98,"",7848.83,"Other Current Asset"
,"Build Assembly","13-01-2025","12450",,"N","Canister Sunlight 500g","X","rHDPE white pellets",20303.40,"",28152.23,"Other Current Asset"
,"Build Assembly","14-01-2025","12452",,"D","Canister Sunlight 500g","X","rHDPE white pellets",17866.99,"",46019.22,"Other Current Asset"
,"Build Assembly","14-01-2025","12454",,"N","Canister Sunlight 500g","X","rHDPE white pellets",20303.40,"",66322.62,"Other Current Asset"
,"Build Assembly","15-01-2025","12461",,"Canister Sunlight 500g","Canister Sunlight 500g","X","Sunlight Lavender 24X500G","",25002.31,41320.31,"Other Current Asset"
,"Build Assembly","15-01-2025","12463",,"Canister Sunlight 500g","Canister Sunlight 500g","X","Sunlight Lemon 24X500G","",7034.55,34285.76,"Other Current Asset"
,"Build Assembly","15-01-2025","12466",,"D","Canister Sunlight 500g","X","rHDPE white pellets",17425.61,"",51711.37,"Other Current Asset"
,"Build Assembly","15-01-2025","12468",,"N","Canister Sunlight 500g","X","rHDPE white pellets",20126.85,"",71838.22,"Other Current Asset"
,"Build Assembly","16-01-2025","12472",,"Canister Sunlight 500g","Canister Sunlight 500g","X","Sunlight Lemon 24X500G","",18305.84,53532.38,"Other Current Asset"
,"Build Assembly","16-01-2025","12477",,"D","Canister Sunlight 500g","X","rHDPE white pellets",812.14,"",54344.52,"Other Current Asset"
"Total Canister Sunlight 500g",,,,,,,,,104518.37,50342.70,54344.52,
"Cannister 1Kg Generic",,,,,,,,,,,0.00,
"Total Cannister 1Kg Generic",,,,,,,,,"","",0.00,
"Cap Lemon Yellow",,,,,,,,,,,347429.37,
,"Build Assembly","07-01-2025","12396",,"Cap Lemon Yellow","Cap Lemon Yellow","X","Sunlight Lemon 12X1KG","",9472.32,337957.05,"Other Current Asset"
,"Build Assembly","13-01-2025","12444",,"Cap Lemon Yellow","Cap Lemon Yellow","X","Vim Powd Lemon Fresh SA 24X500G","",25850.88,312106.17,"Other Current Asset"
,"Build Assembly","15-01-2025","12459",,"Cap Lemon Yellow","Cap Lemon Yellow","X","Vim Powd Lemon Fresh SA 24X500G","",6589.44,305516.73,"Other Current Asset"
,"Build Assembly","15-01-2025","12463",,"Cap Lemon Yellow","Cap Lemon Yellow","X","Sunlight Lemon 24X500G","",5258.88,300257.85,"Other Current Asset"
,"Build Assembly","16-01-2025","12472",,"Cap Lemon Yellow","Cap Lemon Yellow","X","Sunlight Lemon 24X500G","",13685.76,286572.09,"Other Current Asset"
,"Build Assembly","24-01-2025","12545",,"Cap Lemon Yellow","Cap Lemon Yellow","X","Vim Powd Lemon Fresh SA 24X500G","",53729.28,232842.81,"Other Current Asset"
"Total Cap Lemon Yellow",,,,,,,,,0.00,114586.56,232842.81,
"Chlorine 90% TCCA",,,,,,,,,,,338780.15,
,"Build Assembly","02-01-2025","12351",,"Chlorine 90% TCCA","Chlorine 90% TCCA","X","Vim Mix Lemon","",17931.44,320848.71,"Other Current Asset"
,"Build Assembly","03-01-2025","12360",,"Chlorine 90% TCCA","Chlorine 90% TCCA","X","Vim Mix Lemon","",11410.92,309437.79,"Other Current Asset"
,"Build Assembly","04-01-2025","12367",,"Chlorine 90% TCCA","Chlorine 90% TCCA","X","Vim Mix Lemon","",16301.31,293136.48,"Other Current Asset"
,"Build Assembly","04-01-2025","12368",,"Chlorine 90% TCCA","Chlorine 90% TCCA","X","Vim Mix Lavender","",1628.99,291507.49,"Other Current Asset"
,"Build Assembly","06-01-2025","12381",,"Chlorine 90% TCCA","Chlorine 90% TCCA","X","Vim Mix Lavender","",21176.85,270330.64,"Other Current Asset"
,"Build Assembly","07-01-2025","12390",,"Chlorine 90% TCCA","Chlorine 90% TCCA","X","Vim Mix Lavender","",9773.93,260556.71,"Other Current Asset"
,"Build Assembly","07-01-2025","12393",,"Chlorine 90% TCCA","Chlorine 90% TCCA","X","Vim Mix Lemon","",6520.53,254036.18,"Other Current Asset"
,"Bill","07-01-2025","0190438310000009028","Priyann Enterprises Limited","Chlorine 90% TCCA","Chlorine 90% TCCA",,"Accounts Payable",460000.00,"",714036.18,"Other Current Asset"
,"Build Assembly","08-01-2025","12407",,"Chlorine 90% TCCA","Chlorine 90% TCCA","X","Vim Mix Lemon","",26083.46,687952.72,"Other Current Asset"
,"Build Assembly","09-01-2025","12415",,"Chlorine 90% TCCA","Chlorine 90% TCCA","X","Vim Mix Lemon","",16302.16,671650.56,"Other Current Asset"
,"Build Assembly","10-01-2025","12425",,"Chlorine 90% TCCA","Chlorine 90% TCCA","X","Vim Mix Lemon","",17932.38,653718.18,"Other Current Asset"
,"Build Assembly","13-01-2025","12440",,"Chlorine 90% TCCA","Chlorine 90% TCCA","X","Vim Mix Lavender","",3258.15,650460.03,"Other Current Asset"
,"Build Assembly","15-01-2025","12455",,"Chlorine 90% TCCA","Chlorine 90% TCCA","X","Vim Mix Lavender","",3258.15,647201.88,"Other Current Asset"
,"Build Assembly","15-01-2025","12458",,"Chlorine 90% TCCA","Chlorine 90% TCCA","X","Vim Mix Lemon","",1630.22,645571.66,"Other Current Asset"
,"Build Assembly","16-01-2025","12471",,"Chlorine 90% TCCA","Chlorine 90% TCCA","X","Vim Mix Lemon","",14671.94,630899.72,"Other Current Asset"
,"Build Assembly","17-01-2025","12487",,"Chlorine 90% TCCA","Chlorine 90% TCCA","X","Vim Mix Lemon","",3260.43,627639.29,"Other Current Asset"
,"Build Assembly","17-01-2025","12488",,"Chlorine 90% TCCA","Chlorine 90% TCCA","X","Vim Mix Lavender","",11403.51,616235.78,"Other Current Asset"
,"Build Assembly","18-01-2025","12495",,"Chlorine 90% TCCA","Chlorine 90% TCCA","X","Vim Mix Lemon","",8151.08,608084.70,"Other Current Asset"
,"Build Assembly","20-01-2025","12505",,"Chlorine 90% TCCA","Chlorine 90% TCCA","X","Vim Mix Lemon","",14671.94,593412.76,"Other Current Asset"
,"Build Assembly","21-01-2025","12514",,"Chlorine 90% TCCA","Chlorine 90% TCCA","X","Vim Mix Lemon","",17932.38,575480.38,"Other Current Asset"
,"Build Assembly","22-01-2025","12523",,"Chlorine 90% TCCA","Chlorine 90% TCCA","X","Vim Mix Lemon","",11411.51,564068.87,"Other Current Asset"
,"Build Assembly","22-01-2025","12524",,"Chlorine 90% TCCA","Chlorine 90% TCCA","X","Vim Mix Lavender","",4887.22,559181.65,"Other Current Asset"
,"Build Assembly","23-01-2025","12533",,"Chlorine 90% TCCA","Chlorine 90% TCCA","X","Vim Mix Lavender","",17919.81,541261.84,"Other Current Asset"
"Total Chlorine 90% TCCA",,,,,,,,,460000.00,257518.31,541261.84,
"Disonium Sulphate",,,,,,,,,,,0.00,
,"Stock Adjust","10-01-2025","557",,"65300674 Stock Adjustment","Disonium Sulphate","X","Materials Usage Variance",0.00,"",0.00,"Other Current Asset"
,"Build Assembly","16-01-2025","12469",,"Disodium Sulphate","Disonium Sulphate","X","Sixin Sulphate Blend ZA",0.00,"",0.00,"Other Current Asset"
,"Build Assembly","16-01-2025","12470",,"Disodium Sulphate","Disonium Sulphate","X","Adjunct Emit",0.00,"",0.00,"Other Current Asset"
,"Build Assembly","17-01-2025","12485",,"Disodium Sulphate","Disonium Sulphate","X","Adjunct Emit",0.00,"",0.00,"Other Current Asset"
,"Build Assembly","17-01-2025","12486",,"Disodium Sulphate","Disonium Sulphate","X","Emit 4",0.00,"",0.00,"Other Current Asset"
,"Bill","17-01-2025",,"Unilever Kenya Limited","Disodium Sulphate","Disonium Sulphate",,"Accounts Payable",0.00,"",0.00,"Other Current Asset"
"Total Disonium Sulphate",,,,,,,,,0.00,0.00,0.00,
"Dolomite",,,,,,,,,,,0.00,
"Total Dolomite",,,,,,,,,"","",0.00,
"Domestos Citrus 24x500 Raw",,,,,,,,,,,0.00,
"Total Domestos Citrus 24x500 Raw",,,,,,,,,"","",0.00,
"Domestos Citrus Sleeves",,,,,,,,,,,0.00,
"Total Domestos Citrus Sleeves",,,,,,,,,"","",0.00,
"Domestos Original 24x500 Raw",,,,,,,,,,,0.00,
"Total Domestos Original 24x500 Raw",,,,,,,,,"","",0.00,
"Domestos Original Sleeves",,,,,,,,,,,0.00,
"Total Domestos Original Sleeves",,,,,,,,,"","",0.00,
"Domestos Pink 24x500 Raw",,,,,,,,,,,0.00,
"Total Domestos Pink 24x500 Raw",,,,,,,,,"","",0.00,
"Domestos Pink Sleeves",,,,,,,,,,,0.00,
"Total Domestos Pink Sleeves",,,,,,,,,"","",0.00,
"DV 28",,,,,,,,,,,0.00,
,"Build Assembly","17-01-2025","12486",,"DV 28 Shading Dye","DV 28","X","Emit 4",0.00,"",0.00,"Other Current Asset"
"Total DV 28",,,,,,,,,0.00,0.00,0.00,
"Feldspar",,,,,,,,,,,0.00,
"Total Feldspar",,,,,,,,,"","",0.00,
"Film",,,,,,,,,,,97491.86,
,"Build Assembly","02-01-2025","12352",,"Stretchfilm","Film","X","1 Kg VIM lemon","",2489.16,95002.70,"Other Current Asset"
,"Build Assembly","03-01-2025","12359",,"Stretchfilm","Film","X","Zelia 500ML Apple Handwash Liq","",141.45,94861.25,"Other Current Asset"
,"Build Assembly","03-01-2025","12361",,"Stretchfilm","Film","X","1 Kg VIM lemon","",2164.37,92696.88,"Other Current Asset"
,"Build Assembly","03-01-2025","12364",,"Stretchfilm","Film","X","500g VIM lemon","",2951.42,89745.46,"Other Current Asset"
,"Build Assembly","04-01-2025","12372",,"Stretchfilm","Film","X","500g VIM lemon","",3634.19,86111.27,"Other Current Asset"
,"Build Assembly","04-01-2025","12373",,"Stretchfilm","Film","X","Vim Lemon Fresh Pouch 24x500g","",489.43,85621.84,"Other Current Asset"
,"Build Assembly","04-01-2025","12374",,"Stretchfilm","Film","X","1 kg VIM lavender","",165.28,85456.56,"Other Current Asset"
,"Build Assembly","06-01-2025","12382",,"Stretchfilm","Film","X","1 kg VIM lavender","",1548.11,83908.45,"Other Current Asset"
,"Build Assembly","06-01-2025","12383",,"Stretchfilm","Film","X","500g VIM lavender","",783.42,83125.03,"Other Current Asset"
,"Build Assembly","06-01-2025","12384",,"Stretchfilm","Film","X","Vim Lemon Fresh Pouch 24x500g","",421.45,82703.58,"Other Current Asset"
,"Build Assembly","06-01-2025","12389",,"Stretchfilm","Film","X","Zelia 500ML Apple Handwash Liq","",1.81,82701.77,"Other Current Asset"
,"Build Assembly","07-01-2025","12395",,"Stretchfilm","Film","X","Sunlight Lavender 12X1KG","",641.59,82060.18,"Other Current Asset"
,"Build Assembly","07-01-2025","12396",,"Stretchfilm","Film","X","Sunlight Lemon 12X1KG","",796.00,81264.18,"Other Current Asset"
,"Build Assembly","07-01-2025","12397",,"Stretchfilm","Film","X","1 Kg VIM lemon","",372.71,80891.47,"Other Current Asset"
,"Build Assembly","07-01-2025","12398",,"Stretchfilm","Film","X","Vim Lemon Fresh Pouch 24x500g","",557.40,80334.07,"Other Current Asset"
,"Build Assembly","07-01-2025","12394",,"Stretchfilm","Film","X","500g VIM lavender","",2924.22,77409.85,"Other Current Asset"
,"Build Assembly","08-01-2025","12408",,"Stretchfilm","Film","X","1 Kg VIM lemon","",3396.97,74012.88,"Other Current Asset"
,"Build Assembly","08-01-2025","12409",,"Stretchfilm","Film","X","500g VIM lemon","",1351.94,72660.94,"Other Current Asset"
,"Build Assembly","08-01-2025","12410",,"Stretchfilm","Film","X","Vim Lemon Fresh Pouch 24x500g","",934.67,71726.27,"Other Current Asset"
,"Build Assembly","09-01-2025","12417",,"Stretchfilm","Film","X","500g VIM lemon","",4352.32,67373.95,"Other Current Asset"
,"Build Assembly","09-01-2025","12418",,"Stretchfilm","Film","X","Vim Lemon Fresh Pouch 24x500g","",448.64,66925.31,"Other Current Asset"
,"Build Assembly","10-01-2025","12424",,"Stretchfilm","Film","X","Vim Scourer Lmn 12X1Kg+Vim Lvr","",307.98,66617.33,"Other Current Asset"
,"Build Assembly","10-01-2025","12423",,"Stretchfilm","Film","X","500g VIM lemon","",3590.67,63026.66,"Other Current Asset"
,"Build Assembly","13-01-2025","12442",,"Stretchfilm","Film","X","Domestos Canister 12x900g","",801.32,62225.34,"Other Current Asset"
,"Build Assembly","13-01-2025","12444",,"Stretchfilm","Film","X","Vim Powd Lemon Fresh SA 24X500G","",1109.84,61115.50,"Other Current Asset"
,"Build Assembly","13-01-2025","12445",,"Stretchfilm","Film","X","Vim Lemon Fresh Pouch 24x500g","",543.81,60571.69,"Other Current Asset"
,"Build Assembly","13-01-2025","12443",,"Stretchfilm","Film","X","Domestos Canister 24x450g","",1288.15,59283.54,"Other Current Asset"
,"Build Assembly","15-01-2025","12459",,"Stretchfilm","Film","X","Vim Powd Lemon Fresh SA 24X500G","",282.90,59000.64,"Other Current Asset"
,"Build Assembly","15-01-2025","12460",,"Stretchfilm","Film","X","500g VIM lavender","",1262.17,57738.47,"Other Current Asset"
,"Build Assembly","15-01-2025","12461",,"Stretchfilm","Film","X","Sunlight Lavender 24X500G","",802.46,56936.01,"Other Current Asset"
,"Build Assembly","15-01-2025","12462",,"Stretchfilm","Film","X","Sunlight Lavender 12X1KG","",796.00,56140.01,"Other Current Asset"
,"Build Assembly","15-01-2025","12463",,"Stretchfilm","Film","X","Sunlight Lemon 24X500G","",225.78,55914.23,"Other Current Asset"
,"Build Assembly","15-01-2025","12464",,"Stretchfilm","Film","X","Vim Lemon Fresh Pouch 24x500g","",489.43,55424.80,"Other Current Asset"
,"Build Assembly","16-01-2025","12472",,"Stretchfilm","Film","X","Sunlight Lemon 24X500G","",587.56,54837.24,"Other Current Asset"
,"Build Assembly","16-01-2025","12474",,"Stretchfilm","Film","X","1 Kg VIM lemon","",3727.08,51110.16,"Other Current Asset"
,"Build Assembly","16-01-2025","12475",,"Stretchfilm","Film","X","Vim Lemon Fresh Pouch 24x500g","",207.33,50902.83,"Other Current Asset"
,"Build Assembly","16-01-2025","12476",,"Stretchfilm","Film","X","Vim Scourer Lmn 12X1Kg+Vim Lvr","",215.59,50687.24,"Other Current Asset"
,"Build Assembly","17-01-2025","12482",,"Stretchfilm","Film","X","500g VIM lemon","",903.11,49784.13,"Other Current Asset"
,"Build Assembly","17-01-2025","12483",,"Stretchfilm","Film","X","500g VIM lavender","",2089.11,47695.02,"Other Current Asset"
,"Build Assembly","17-01-2025","12484",,"Stretchfilm","Film","X","Vim Scourer Lmn 12X1Kg+Vim Lvr","",287.45,47407.57,"Other Current Asset"
,"Build Assembly","17-01-2025","12504",,"Stretchfilm","Film","X","Zelia Handwash Liquid 12x500ML","",145.08,47262.49,"Other Current Asset"
,"Build Assembly","17-01-2025","12492",,"Stretchfilm","Film","X","Zelia Bleach 4X5L","",21.08,47241.41,"Other Current Asset"
,"Build Assembly","20-01-2025","12506",,"Stretchfilm","Film","X","500g VIM lemon","",261.14,46980.27,"Other Current Asset"
,"Build Assembly","20-01-2025","12507",,"Stretchfilm","Film","X","1 Kg VIM lemon","",3727.08,43253.19,"Other Current Asset"
,"Build Assembly","20-01-2025","12509",,"Stretchfilm","Film","X","Vim Scourer Lmn 12X1Kg+Vim Lvr","",71.86,43181.33,"Other Current Asset"
,"Build Assembly","21-01-2025","12516",,"Stretchfilm","Film","X","Vim Scourer Lmn 12X1Kg+Vim Lvr","",43.12,43138.21,"Other Current Asset"
,"Build Assembly","21-01-2025","12517",,"Stretchfilm","Film","X","500g VIM lemon","",4461.13,38677.08,"Other Current Asset"
,"Build Assembly","21-01-2025","12518",,"Stretchfilm","Film","X","Vim Lemon Fresh Pouch 24x500g","",537.01,38140.07,"Other Current Asset"
,"Build Assembly","22-01-2025","12526",,"Stretchfilm","Film","X","500g VIM lemon","",3177.19,34962.88,"Other Current Asset"
,"Build Assembly","22-01-2025","12527",,"Stretchfilm","Film","X","1 kg VIM lavender","",386.00,34576.88,"Other Current Asset"
,"Build Assembly","23-01-2025","12534",,"Stretchfilm","Film","X","500g VIM lavender","",1294.82,33282.06,"Other Current Asset"
,"Build Assembly","23-01-2025","12535",,"Stretchfilm","Film","X","1 kg VIM lavender","",1123.10,32158.96,"Other Current Asset"
,"Build Assembly","23-01-2025","12536",,"Stretchfilm","Film","X","Vim Lemon Fresh Pouch 24x500g","",594.79,31564.17,"Other Current Asset"
,"Build Assembly","24-01-2025","12545",,"Stretchfilm","Film","X","Vim Powd Lemon Fresh SA 24X500G","",2306.73,29257.44,"Other Current Asset"
,"Build Assembly","24-01-2025","12546",,"Stretchfilm","Film","X","Vim Lemon Fresh Pouch 24x500g","",251.51,29005.93,"Other Current Asset"
,"Build Assembly","24-01-2025","12544",,"Stretchfilm","Film","X","500g VIM lavender","",802.46,28203.47,"Other Current Asset"
"Total Film",,,,,,,,,0.00,69288.39,28203.47,
"Lid Sticker Sunlight",,,,,,,,,,,36407.45,
,"Build Assembly","07-01-2025","12395",,"Lid Sticker Sunlight","Lid Sticker Sunlight","X","Sunlight Lavender 12X1KG","",1156.80,35250.65,"Other Current Asset"
,"Build Assembly","07-01-2025","12396",,"Lid Sticker Sunlight","Lid Sticker Sunlight","X","Sunlight Lemon 12X1KG","",1435.20,33815.45,"Other Current Asset"
,"Build Assembly","15-01-2025","12461",,"Lid Sticker Sunlight","Lid Sticker Sunlight","X","Sunlight Lavender 24X500G","",2832.00,30983.45,"Other Current Asset"
,"Build Assembly","15-01-2025","12462",,"Lid Sticker Sunlight","Lid Sticker Sunlight","X","Sunlight Lavender 12X1KG","",1435.20,29548.25,"Other Current Asset"
,"Build Assembly","15-01-2025","12463",,"Lid Sticker Sunlight","Lid Sticker Sunlight","X","Sunlight Lemon 24X500G","",796.80,28751.45,"Other Current Asset"
,"Build Assembly","16-01-2025","12472",,"Lid Sticker Sunlight","Lid Sticker Sunlight","X","Sunlight Lemon 24X500G","",2073.60,26677.85,"Other Current Asset"
"Total Lid Sticker Sunlight",,,,,,,,,0.00,9729.60,26677.85,
"Lid Stickers",,,,,,,,,,,306621.92,
,"Build Assembly","02-01-2025","12352",,"Vim Lid Sticker","Lid Stickers","X","1 Kg VIM lemon","",7854.00,298767.92,"Other Current Asset"
